歌名,歌手,专辑,时长,爬取时间
当你,林俊杰,她说 概念自选辑,251秒,2025-04-13 19:07:33
一程山路,毛不易,小王,215秒,2025-04-13 19:07:33
爱，存在,魏奇奇,流星花园音乐专辑,286秒,2025-04-13 19:07:33
开始懂了,孙燕姿,我要的幸福,271秒,2025-04-13 19:07:33
枫,周杰伦,十一月的萧邦,275秒,2025-04-13 19:07:33
凑热闹,BY2,成人礼,242秒,2025-04-13 19:07:33
就是爱你,陶喆,太平盛世,263秒,2025-04-13 19:07:33
勇气,梁静茹,勇气,239秒,2025-04-13 19:07:33
花海,周杰伦,魔杰座,264秒,2025-04-13 19:07:33
你想要的,颜人中,你想要的,232秒,2025-04-13 19:07:33
鱼仔,卢广仲,鱼仔,280秒,2025-04-13 19:07:33
月亮翻过小山坡,聒噪的王海颖,月亮翻过小山坡,183秒,2025-04-13 19:07:33
可我只是海,LBI利比（时柏尘）,可我只是海,175秒,2025-04-13 19:07:33
单恋一枝花 (你应该大声说拜拜),夏了个天呐,单恋一枝花 (你应该大声说拜拜),180秒,2025-04-13 19:07:33
默契,海南小崇,默契,208秒,2025-04-13 19:07:33
空荡的酒杯,无名姐（路宝）,空荡的酒杯,232秒,2025-04-13 19:07:33
月亮照山川,窝窝,月亮照山川,197秒,2025-04-13 19:07:33
只字不提 (山外的山我望不穿),海来阿木,只字不提,241秒,2025-04-13 19:07:33
绝对是个梦,汤宝如,BTB First Love,223秒,2025-04-13 19:07:33
空荡的酒杯 (丫蛋版),丫蛋,空荡的酒杯（丫蛋版）,232秒,2025-04-13 19:07:33
深深 (Live),王赫野,音你而来2 第2期,169秒,2025-04-13 19:07:33
舍不得放手 (AiQuiet remix),AiQuiet,我想静静,247秒,2025-04-13 19:07:33
FENDI,宋雨琦,FENDI,165秒,2025-04-13 19:07:33
I Want You To Know,Zedd,True Colors,239秒,2025-04-13 19:07:33
听（你和落日的一次偶遇）,江迟同学,听（你和落日的一次偶遇）,200秒,2025-04-13 19:07:33
爱错 (Live),张碧晨,音你而来2 第2期,241秒,2025-04-13 19:07:33
用尽伤人的话去说,安若儿,自问到底舍不舍得,244秒,2025-04-13 19:07:33
雨爱 (Live),欧阳娜娜,音你而来2 第2期,246秒,2025-04-13 19:07:33
云裳羽衣曲,周深,云裳羽衣曲,296秒,2025-04-13 19:07:33
Body Shots,Kaci Battaglia,Bring It On,243秒,2025-04-13 19:07:33
like JENNIE (Explicit),JENNIE (제니),like JENNIE,123秒,2025-04-13 19:07:33
Hide Away (Alan Walker Remix),Daya,Hide Away (Alan Walker Remix),137秒,2025-04-13 19:07:33
没能成为你的白马,杨天一,没能成为你的白马,279秒,2025-04-13 19:07:33
I'm Alive,王力宏,I'm Alive,225秒,2025-04-13 19:07:33
座位,赵乃吉,座位,207秒,2025-04-13 19:07:33
I'll Be Waiting,Cian Ducrot,I'll Be Waiting,172秒,2025-04-13 19:07:33
来去打工,王以诺,来去打工,177秒,2025-04-13 19:07:33
鱼仔（我需要你需要你）,曹一阳,鱼仔（合唱版）,180秒,2025-04-13 19:07:33
